,id,cause,effect,label
441,13,The pond froze over for the winter.,People skated on the pond.,1.0
442,1473,The teacher turned his back to the class.,The students groaned.,0.0
443,1234,The school principal effected the honor code.,Students were expelled from school.,1.0
444,1435,The chef forgot to put the egg in the fridge.,The egg cracked.,0.0
445,154,The boy turned the lid on the jar.,The jar became warm.,0.0
446,465,Their habitat was destroyed.,The animal species became endangered.,1.0
447,1203,The gardener wanted more plants to flourish.,He planted a variety of seeds.,1.0
448,217,The company's profits started to level off.,It moved its headquarters to a suburban location.,0.0
449,1005,It was a birthday party.,The guests of the party brought candles.,1.0
450,1211,The sender requested a response from her.,The woman read the email.,1.0
451,1468,A knock sounded at the door.,The visitor used the old door knocker instead of the door bell.,0.0
452,1029,The grape juice was boiled.,The juice turned to wine.,0.0
453,445,The journalist was intrigued by the humanitarian's work.,The journalist wrote a biography about the humanitarian's life.,1.0
454,458,The pocket had a hole.,The key was missing from my pants pocket.,1.0
455,404,I wanted to conserve energy.,I swept the floor in the unoccupied room.,0.0
456,1052,The homeowners liked their neighbors.,They hosted a barbeque in their backyard.,1.0
457,1179,The captain raised the sail.,The boat moved.,1.0
458,1269,The chef pressed down on the dry dough.,The dough crumbled.,1.0
459,1497,I was expecting company.,I did not clean up my house.,0.0
460,1377,I made a resolution to become fitter.,I attended a yoga class.,1.0
461,1208,The man woke up late.,He missed an appointment with the dentist.,1.0
462,389,The girl desired her parent's approval.,She ran away from home.,0.0
463,1114,The surfer saw the wave.,The wave carried her to the shore.,0.0
464,88,I skipped dinner.,I put my plate in the sink.,0.0
465,331,I was hungry.,I lingered in bed upon awakening.,0.0
466,1020,The woman's ring got dirty.,The woman polished the ring.,1.0
467,433,I lowered my voice.,I coughed.,0.0
468,375,His mother passed away.,The man grieved.,1.0
469,457,She was irritated with her friend's whining.,The woman lavished her friend with flattery.,0.0
470,411,The man dropped the bowling ball on his foot.,The bowling ball knocked over the bowling pins.,0.0
471,1408,I was laughing.,My cheeks became red and puffy.,1.0
472,1474,There was a big flood last autumn.,People evacuated their homes.,1.0
473,1101,The teacher wanted to grade the students.,She gave her students a pop quiz.,1.0
474,1431,The caller drove through a long tunnel.,The caller's phone lost reception.,1.0
475,479,I stayed up late.,I was tired in the morning.,1.0
476,414,She believed her superiors were acting unethically.,The woman resigned from her job.,1.0
477,1089,It provoked him to think.,The man liked the book.,1.0
478,168,I jumped the battery.,My car was towed.,0.0
479,235,I blew into it.,The balloon expanded.,1.0
480,1073,The authorities brought on the case many years later.,The victim struggled to recall details about the crime.,1.0
481,1333,It contained a lot of junk.,The woman emptied her mailbox.,1.0
482,1094,The tile was cracked.,I cut my foot on the floor.,1.0
483,243,The forecast called for storms.,The family postponed the barbeque.,1.0
484,1478,My room looked boring.,I decorated it.,1.0
485,495,The girl wanted to wear earrings.,She got a tattoo.,0.0
486,1494,The woman became senile.,Her family avoided her.,1.0
487,422,I took deep breaths.,I regained composure from my fit of anger.,1.0
488,1172,The teacher threw the chewing gum at the student.,The student spit out the gum.,0.0
489,1401,The man flushed repeatedly.,Water flowed from the spout.,0.0
490,405,The cook grilled it.,The hamburger meat browned.,1.0
491,1206,Its products received positive consumer reviews.,The company sold more products.,1.0
492,1279,He checked his work.,The man never made an error in his calculations.,1.0
493,76,He got out of the car.,The man closed the umbrella.,0.0
494,401,The man turned on the faucet.,The toilet filled with water.,0.0
495,1448,I chipped my fingernail.,I cut my nails.,1.0
496,212,Her alibi checked out.,The police eliminated the woman from the list of suspects.,1.0
497,1129,The driver made a wrong turn.,The trip was a fun time.,0.0
498,1265,He raised taxes.,The leader received opposition.,1.0
499,1307,The woman studied mental disorder treatment.,She was sent to a psychiatric institution.,0.0
500,256,The traffic light turned green.,Cars moved to the shoulder of the road.,0.0
501,51,I felt nauseous.,I drank from the water fountain.,0.0
502,105,The interviewer asked difficult questions.,I botched the job interview.,1.0
503,1134,The girl came across an offensive word in her textbook.,She looked the term up in the dictionary.,0.0
504,80,The fugitive hid from the police.,The fugitive remained at large.,1.0
505,325,His brother tickled him.,The boy giggled uncontrollably.,1.0
506,1393,Factories shut down.,Air qualtity in the city improved.,1.0
507,1029,The grape juice was boiled.,The juice evaporated.,1.0
508,133,The group overlooked the woman's faux pas.,The woman apologized.,0.0
509,1271,I went hiking.,My skin was dry.,0.0
510,74,He bought them on sale.,The man's clothes fit loosely.,0.0
511,1390,The truck crashed into the main pillar of the bridge.,The bridge collapsed.,1.0
512,34,The patient was dehydrated.,The nurse gave him an IV.,1.0
513,495,The girl wanted to wear earrings.,She got her ears pierced.,1.0
514,1136,The flashlight was broken.,I replaced the batteries.,0.0
515,1044,The man had bad eyesight.,He put on glasses.,1.0
516,281,The shopper wondered about the cost of the item.,He decided to buy it.,0.0
517,1421,The student felt sick and wanted to go home.,The teacher corrected her.,0.0
518,138,I scratched my skin.,My scar faded.,0.0
519,254,The clouds looked dark.,I brought my umbrella to work.,1.0
520,428,He heard thunder.,The driver turned on the car's headlights.,0.0
521,1413,My computer's sound didn't work.,I installed new speakers.,1.0
522,1375,His wife criticized him.,The man yelled at her.,1.0
523,1243,The forecast called for storms.,The family had the barbeque.,0.0
524,1109,The patron was alone.,The bartender accompanied the patron.,1.0
525,1430,She sneezed.,The woman's friend noticed her bad breath.,0.0
526,209,Their coach pumped them up.,The team lost the game.,0.0
527,1304,The sun shined very brightly.,The swimmers put on more sunscreen.,1.0
528,297,He opened a new bar of soap.,The man took a shower.,0.0
529,1234,The school principal effected the honor code.,Students protested the decision.,0.0
530,38,The woman won the lottery.,She bought a yacht.,1.0
531,201,The woman made him blush.,The man had lipstick on his cheek.,0.0
532,1450,The hot sun shined onto the cement all summer.,My handprint dried in the cement.,0.0
533,7,I bleached the shirt.,The stain came out of the shirt.,1.0
534,485,She checked into rehab.,The woman was arrested.,0.0
535,453,The detective revealed an anomaly in the case.,He finalized his theory.,0.0
536,1033,The police shot the fugitive.,The fugitive dropped his gun.,0.0
537,412,His obituary appeared in the newspaper.,The community learned of the man's death.,1.0
538,1412,His obituary appeared in the newspaper.,The man did not get the burial at sea he wanted.,0.0
539,300,His wife was diagnosed with cancer.,The man felt thankful to be alive.,0.0
540,1046,She saw a black cat.,The girl had bad luck.,1.0
541,169,She destroyed the evidence.,The woman got away with the crime.,1.0
542,1267,The lid on the mailbox broke.,The letters were blown from my mailbox.,1.0
543,7,I patched the shirt.,The stain came out of the shirt.,0.0
544,171,The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,0.0
545,448,My finger swelled.,The ring on my finger got stuck.,1.0
546,1167,I pulled on the knob.,The car door opened.,1.0
547,1205,The sun shined so bright.,I put on a belt.,0.0
548,1489,The woman planned to buy a condo.,The woman contacted the maid service.,0.0
549,46,She saw a shooting star.,The girl made a wish.,1.0
550,118,He talked back to the teacher.,The student received detention.,1.0
551,1388,The boy wrestled with his older brother.,The boy broke his arm.,1.0
552,1047,The woman was thirsty after she jogged.,She wrapped herself in a towel.,0.0
553,206,Its products received positive consumer reviews.,The company lost money.,0.0
554,452,My subscription to the magazine expired.,I stopped receiving new issues.,1.0
555,222,The toddler started crying.,Her parents gave her a toy.,1.0
556,1147,It was wrinkled.,I wore my shirt.,0.0
557,280,She entered the sauna.,The woman's eyeglasses fogged up.,1.0
558,379,The friends' dinnertime conversation turned to politics.,A debate erupted.,1.0
559,266,The man read the cartoon in the newspaper.,He sipped coffee.,0.0
560,1355,I got ready to clean the room.,I clamped my hand over my nose.,0.0
561,201,The woman kissed him.,The man had lipstick on his cheek.,1.0
562,1365,She swallowed her gum.,The girl worried about a clogged gut.,1.0
563,1070,The station was playing rock music.,The boy listened to the radio.,1.0
564,1009,The patient was a close friend of the physician.,The patient filed a malpractice lawsuit against the physician.,0.0
565,1457,She was irritated with her friend's whining.,The woman yelled at her friend.,1.0
566,1282,The contestant was in the lead.,The host of the trivia show called on the contestant to pick a category.,1.0
567,343,They apprehended the suspect.,The police closed the investigation.,1.0
568,1133,The group was offended by the woman's faux pas.,The woman was relieved.,0.0
569,359,We ordered a pizza.,The pizza was delivered.,1.0
570,1389,The girl hated her parents.,She obeyed her parent's rules.,0.0
571,1443,The students both received excellent grades.,The teacher praised the pair of students.,1.0
572,416,The jury announced its verdict.,The judge pounded the gavel.,0.0
573,1205,The sun shined so bright.,I put on a hat.,1.0
574,1493,The parking meter expired.,The man saw an empty parking spot.,0.0
575,1117,The question made me uncomfortable.,I promised to give a straight answer to the question.,0.0
576,1264,He looked busy.,I did not approach the man.,1.0
577,1416,The jury announced its verdict.,The defendant listened anxiously.,1.0
578,1065,The dog injured his paw.,The dog broke his teeth.,0.0
579,1257,The bar emitted a fragrance.,The boy lost sniffed the bar of soap.,1.0
580,1456,His mother cooked his favorite meal.,The boy rushed home for dinner.,1.0
581,308,The sun emerged from the clouds.,The woman glanced at her watch.,0.0
582,1487,The child sprinkled pepper in his friend's face.,His friend sneezed.,1.0
583,272,The woman betrayed her friend.,Her friend sent her a greeting card.,0.0
584,1102,I blocked the pendulum.,It swung back and forth.,0.0
585,1353,His meal was spicy.,The man asked the waiter to reheat his meal.,0.0
586,420,She burned her finger on the toaster.,The woman ran her finger under cold water.,1.0
587,236,I wanted to lighten the mood of the conversation.,I told a joke.,1.0
588,432,She broke her leg.,The woman walked with crutches.,1.0
589,11,The faucet was leaky.,The woman repaired her faucet.,1.0
590,1162,I tossed the ball forward.,The ball hit the ceiling.,0.0
591,1017,I put it in the dryer.,The shirt became clean.,0.0
592,418,They accepted ransom money.,The kidnappers released the hostage.,1.0
593,1284,The woman wanted to see a doctor.,She visited the hospital.,1.0
594,1466,The woman wore a bracelet.,The man noticed that the woman likes jewelry.,1.0
595,380,The woman escaped.,The woman spotted her friend from across the room.,0.0
596,79,The girl was angry with her friend.,The girl spread a rumor about her friend.,1.0
597,1245,Our group's conversation gradually escalated.,I became enraged.,1.0
598,257,The bar was slippery.,The boy lost hold of the bar of soap.,1.0
599,73,The authorities vowed to protect the identity of the crime victim.,The victim struggled to recall details about the crime.,0.0
600,1340,The parents picked out a name for the baby.,The parents received a birth certificate.,1.0
601,1018,It got cold outside.,Snowflakes began to fall from the sky.,1.0
602,77,His family urged him to quit smoking.,The man craved a cigarette.,0.0
603,341,I put ice cubes in the hot soup.,The soup cooled down.,1.0
604,1188,The woman wanted to sell her computer hardware.,She deleted old files on the computer.,1.0
605,162,I tossed the ball upwards.,The ball rolled across the ground.,0.0
606,24,She was certain she had the flu.,The host cancelled the party.,1.0
607,1144,The drived pressed on the brakes.,The car turned.,0.0
608,215,The fortune teller's revelations were convincing.,Many customers asked for refunds.,0.0
609,1140,It was night in a quiet neighborhood.,The homeowners were asleep.,1.0
610,195,The girl launched it.,The rocket flew up into the sky.,1.0
611,280,She reclined by the pool.,The woman's eyeglasses fogged up.,0.0
612,185,The woman felt ashamed of scar on her face.,She explained the scar to strangers.,0.0
613,1151,She didn't get vaccinated.,The child did not know her parents.,0.0
614,1470,The couple was very tired.,They rested.,1.0
615,1129,The driver talked the whole way.,The trip was a fun time.,1.0
616,20,The woman's ring slipped off in the shower.,The woman polished the ring.,0.0
617,493,The parking meter expired.,The man received a parking ticket.,1.0
618,300,He was cured of cancer.,The man felt thankful to be alive.,1.0
619,500,The woman was in a bad mood.,She engaged in small talk with her friend.,0.0
620,1227,The child obeyed her parents.,Her parents punished her.,0.0
621,1300,His wife was diagnosed with cancer.,The man felt depressed.,1.0
622,149,He went through an intersection.,The driver pulled over to the side of the road.,0.0
623,298,The laptop's battery died.,The screen on the laptop went black.,1.0
624,49,It was stale.,The man threw out the bread.,1.0
625,372,She wanted attention.,The woman exaggerated the details of the story.,1.0
626,318,The woman presented her brother with a gift.,Her brother refused to accept the gift.,0.0
627,390,The truck crashed into the motorcycle on the bridge.,The bridge collapsed.,0.0
628,1347,The bully mocked the boy.,The boy felt humiliated.,1.0
629,1039,The seamstress guided the thread through the eye of the needle.,The thread went through the fabric.,0.0
630,160,He entertained the audience.,The audience booed the comedian off the stage.,0.0
631,1491,The candle burned out some time ago.,Wax dripped off the candle.,0.0
632,324,The car stopped at the crosswalk.,The pedestrian crossed the road.,1.0
633,402,The girl found a bug in her cereal.,She poured milk in the bowl.,0.0
634,263,The assailant took the man's wallet.,The man fell unconscious.,0.0
635,1289,The mother no longer needed her son's picture.,His mother hung the picture on the wall.,0.0
636,317,He went camping in the woods.,The man was bitten by mosquitoes.,1.0
637,246,I clenched the candy wrapper in my fist.,The wrapper ripped.,0.0
638,454,His brother took his toys from him.,The boy threw a temper tantrum.,1.0
639,481,The student took notes.,Everyone in the class turned to stare at the student.,0.0
640,378,He suffered emotional trauma.,The patient went into a coma.,0.0
641,211,The sender requested a response from her.,The woman deleted the email.,0.0
642,1136,The flashlight was broken.,I took it apart.,1.0
643,203,The gardener wanted his plants to flourish.,He planted a variety of seeds.,0.0
644,148,The girl felt dizzy.,She lost her balance.,1.0
645,1077,His family urged him to quit smoking.,The man threw his cigarettes away.,1.0
646,1392,The swimmer did not win the race.,Her team lost the meet.,1.0
647,1290,The finals were approaching.,The teams got pumped up.,1.0
648,85,There were many empty tables.,The service at the restaurant was slow.,0.0
649,266,The man read the cartoon in the newspaper.,He chuckled.,1.0
650,139,She became forgetful.,I wrote a thank-you note to my grandmother.,0.0
651,1225,The girl wanted to get on top of the slide.,She glided down the slide.,0.0
652,1169,Her accomplice was apprehended.,The woman got charged with the crime.,1.0
653,1343,They apprehended the suspect.,The police continued the investigation.,0.0
654,48,The nurse prepared the needle for the patient's injection.,The patient bled.,0.0
655,1026,She jumped out of the plane.,The skydiver started to fall down.,1.0
656,1494,The woman became senile.,Photographers followed her.,0.0
657,382,She made a right turn at the light.,The driver honked her horn.,0.0
658,295,The girl pushed her friend.,Her friend choked.,0.0
659,1241,The woman was telling a funny story.,I got hooked to my conversation with the woman.,1.0
660,242,I put coins in the washing machine at the laundromat.,The machine powered on.,1.0
661,5,It was a birthday party.,The guests of the party hid behind the couch.,0.0
662,416,The courtroom broke into uproar.,The judge pounded the gavel.,1.0
663,8,He greeted the cashier.,The man got a discount on his groceries.,0.0
664,1371,The city cut its budget.,The city had spent too much money.,1.0
665,1131,I slammed my hands in the door.,My hands went numb.,1.0
666,94,The tile was wet.,I slipped on the floor.,1.0
667,281,The shopper wondered about the cost of the item.,He checked its price tag.,1.0
668,1175,The man scooted the chair closer to his desk.,The chair fell.,0.0
669,34,The patient was dehydrated.,The nurse tested his reflexes.,0.0
670,27,The toddler became cranky.,Her mother put her down for a nap.,1.0
671,1305,She was the designated driver for the night.,The woman stayed late in the bar.,0.0
672,225,The girl pushed herself off the top of the slide.,She crawled up the slide.,0.0
673,1059,I spilled glue on the wood.,The wood became sticky.,1.0
674,327,It was late.,I went to bed.,1.0
675,1067,My friend got the rules wrong.,The board game ended in a disaster.,1.0
676,129,The driver talked the whole way.,The trip took a long time.,0.0
677,1195,The girl designed it.,The rocket looked pretty.,1.0
678,22,The woman's date wanted to look like a gentleman.,He opened the door for her.,1.0
679,1277,I drank a glass of whisky.,I nodded off to sleep.,1.0
680,292,I scrubbed the stain on the floor.,I got rid of the stain.,1.0
681,160,He told a racist joke.,The audience booed the comedian off the stage.,1.0
682,443,The students both received excellent grades.,The pair of students came under scrutiny by the teacher.,0.0
683,78,The man dropped food on the floor.,His dog ran over to eat the food.,1.0
684,1292,I smeared the stain on the floor.,I got dirt on the floor.,1.0
685,1022,The woman's date wanted to have Japanese cuisine.,He opened the door for her.,0.0
686,1024,She was certain she had the flu.,The woman got vaccinated.,0.0
687,1148,The girl wanted to exercise.,She lost her balance.,0.0
688,1112,The man laughed at comedy.,The woman joked around with him.,1.0
689,1171,The motorcyclist let go of the throttle.,The motorcycle coasted to a halt.,1.0
690,1300,He was cured of cancer.,The man felt depressed.,0.0
691,1159,The archelogist discovered the site.,She read about the site's history.,1.0
692,497,I was swamped with work.,I tidied up my house.,0.0
693,1198,I burnt my dinner.,The room became bright.,0.0
694,1181,Her friends stood her up.,The young woman entered the bar alone.,1.0
695,1343,The victim recovered.,The police continued the investigation.,1.0
696,1368,The spy was hired by the government.,The spy had many fake passports.,1.0
697,60,The crowd gave the band a standing ovation.,The band signed autographs.,0.0
698,1173,The host served nothing to his guests.,His guests were gracious.,0.0
699,37,The papers were disorganized.,I put them into alphabetical order.,1.0
700,208,The man woke up with a toothache.,He missed an appointment with the dentist.,0.0
701,255,The engine of the airplane was faulty.,The pilot made an error.,0.0
702,1192,The buerau drawers were opened.,I threw away unnecessary contents.,0.0
703,1109,The patron was drunk.,The bartender accompanied the patron.,0.0
704,1364,I downloaded a virus.,I did not worry about my computer crashing.,0.0
705,1399,The man arrived early.,He asked a stranger for the time.,0.0
706,83,He blew out the candle.,The boy's mouth stung.,0.0
707,1307,The woman studied mental disorder treatment.,She sought a career as a psychiatrist.,1.0
708,1306,I read several chapters of the book.,I understood the story.,1.0
709,1121,The girl turned down the hill on her bike.,Her bike swerved.,1.0
710,110,I was confused by the professor's lecture.,I paid attention to the professor.,0.0
711,178,I clumsily bumped into the stranger.,I ran away.,0.0
712,386,She squatted down.,The mother became eye level with her son.,1.0
713,1405,The cook froze it.,The hamburger meat can be stored for a long time.,1.0
714,1194,He went away to camp.,The boy felt exhausted.,0.0
715,22,The woman's date wanted to look like a gentleman.,He asked her if she liked sushi.,0.0
716,137,The skunk sprayed the dog.,The dog emitted a foul smell.,1.0
717,1302,She endured a lot of stress in her current occupation.,The woman quit her job recently.,1.0
718,1123,The train travelled through a tunnel.,The inside of the train became destroyed.,0.0
719,31,She was nervous.,The woman hummed to herself.,0.0
720,1233,I burst into a cold room.,My teeth began to chatter.,1.0
721,286,My daughter suffered an allergy attack.,I encouraged her to take deep breaths.,0.0
722,1318,The woman's brother did not like the gift.,Her brother refused to accept the gift.,1.0
723,344,The rain subsided.,I browsed the internet.,0.0
724,38,The woman won the lottery.,She joined a church.,0.0
725,1083,He ate a pepper.,Smoke got in the boy's eyes.,0.0
726,16,Her friend stuck an ice cube down her back.,The girl gasped.,1.0
727,1134,The girl came across an offensive word in her textbook.,She chucked the textbook across the room.,1.0
728,68,He wanted to relax.,The man went away for the weekend.,1.0
729,1030,The friends saw eye to eye.,The friends did not have a debate.,1.0
730,225,The girl pushed herself off the top of the slide.,She glided down the slide.,1.0
731,176,The children were watching cartoons.,The father shut off the children's television.,0.0
732,1356,Her family got in touch with her.,The woman reconnected with distant relatives.,1.0
733,294,I boiled it.,The egg splattered.,0.0
734,1070,The station was coming in with static.,The boy listened to the radio.,0.0
735,1391,Its sales were lagging.,The retail shop stayed open for another year.,0.0
736,1285,The boy found the television show interesting.,He shut it off.,0.0
737,1296,A group of teenagers helped organizing the party.,The host of the party kicked them out.,0.0
738,162,I tossed the ball upwards.,The ball hit the ceiling.,1.0
739,283,He watched a horror movie.,The boy was afraid to go to bed.,1.0
740,1011,The faucet was turned off.,The woman could not wash her hands.,1.0
741,366,The room was dim.,I washed the windows.,0.0
742,1458,The pocket had a hole.,The pants had no defects.,0.0
743,1381,The mother needed help looking after her children.,She sent the children to daycare.,0.0
744,1120,The game ended in a tie.,The fans in the stadium were apathetic.,1.0
745,233,I burst into a fit of laughter.,My eyes welled up with tears.,1.0
746,186,The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,0.0
747,267,I went on vacation for two weeks.,My mailbox was overflowing with letters.,1.0
748,1166,I was tired of standing.,My balance wavered.,0.0
749,356,There was a death in her family.,The employee missed work.,1.0
750,1425,The man showed his new car to the woman.,The woman rejected him.,0.0
751,199,The vase broke.,I glued it back together.,1.0
752,32,The man hated his new haircut.,He wore a hat.,1.0
753,1382,Another car swerved into her lane.,The driver check her rear mirror for cyclists.,0.0
754,1122,A man let me in front of the long line.,I confronted him.,0.0
755,255,The engine of the airplane was faulty.,The airplane crashed.,1.0
756,445,The humanitarian was difficult for the journalist to interview.,The journalist wrote a biography about the humanitarian's life.,0.0
757,182,A comet passed by the moon.,A crater formed on the moon.,0.0
758,141,I held the door for the woman entering behind me.,The woman thanked me.,1.0
759,1485,She committed assault.,The woman was an alcoholic.,0.0
760,1361,Specialists recommended the procedure.,The patient could not afford the medical procedure.,0.0
761,424,He scheduled a meeting with an important client.,The man dressed in his best suit.,1.0
762,18,It got dark outside.,Snowflakes began to fall from the sky.,0.0
763,1296,A group of teenagers helped organizing the party.,The host of the party invited them in.,1.0
764,132,The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,1.0
765,1341,I put flour in the soup.,The soup cooled down.,0.0
766,1062,I was full from breakfast.,My stomach was heavy.,1.0
767,1437,They were retired.,The couple did not live together.,0.0
768,1157,The puddle on the sidewalk looked fun.,I leapt over the puddle.,0.0
769,1464,I was preparing to wash my hands.,I took off the rubber gloves.,1.0
770,1124,The man had a heart attack.,He felt in awe.,0.0
771,1261,The police officer pulled the celebrity by the wrist.,The celebrity offered the officer a bribe.,0.0
772,1113,I received someone's package in the mail.,The package triggered my curiosity.,0.0
773,429,The girl refused to eat her vegetables.,Her father took away her dessert.,1.0
774,127,Several witnesses of the crime testified against the suspect.,The suspect was acquitted.,0.0
775,61,The man threw his empty can onto the street.,He was jumped from behind.,0.0
776,177,He went underwater.,The man held his breath.,1.0
777,29,The grape juice fermented.,The juice turned to wine.,1.0
778,326,My knees buckled on the stairs.,I caught myself on the railing.,1.0
779,1010,The sales associate undercharged the customer.,The sales associate sent another invoice to the customer.,1.0
780,1124,The man had a heart attack.,He collapsed.,1.0
781,1284,The woman wanted to see a doctor.,She went to medical school.,0.0
782,1287,The boy had trouble buttoning his tight shirt.,He refused to wear the shirt.,1.0
783,1066,The dog had lice.,The dog scratched its fur.,1.0
784,1119,His palms were cold and sweaty.,The boy's friends were scared.,1.0
785,339,It was pasteurized.,The milk stayed cold.,0.0
786,1291,She liked fast food.,The girl politely accepted the hamburger.,1.0
787,476,I pushed the wagon.,The wagon wheels spun forward.,1.0
788,290,The competition ended.,The teams got pumped up.,0.0
789,1013,The frozen pond thawed in the spring.,People brought boats to the pond.,1.0
790,219,The girl wanted to demonstrate proper etiquette.,She put her napkin on her lap before eating.,1.0
791,395,My phone rang.,I excused myself from the group.,1.0
792,392,The swimmer won the race.,Her team lost the meet.,0.0
793,315,It was badly bruised.,The doctors amputated the patient's leg.,0.0
794,1105,I anticipated the interviewer's questions.,I passed the job interview.,1.0
795,471,He thanked her.,The woman asked the man to leave.,0.0
796,1042,An awful song came on the radio.,I sang along to it.,0.0
797,1345,The water in tank was dirty.,I poured it out.,1.0
798,1077,He was addicted to nicotine.,The man threw his cigarettes away.,0.0
799,306,I read several chapters of the book.,I ran out of breath.,0.0
800,1344,I wanted to check the weather forecast.,I went for a walk.,0.0
801,1364,I backed up my files.,I did not worry about my computer crashing.,1.0
802,104,He relied on his parents.,The teenager ran away from home.,0.0
803,116,I found a better-paying job.,I moved to a new city.,1.0
804,386,She held his hand.,The mother became eye level with her son.,0.0
805,483,The jewelry thieves were caught.,The cost of the stolen jewelry was calculated.,0.0
806,1027,The toddler joined a baby pageant.,Her mother fixed her hair into pigtails.,1.0
807,1482,The rider stroked the horse.,The horse calmed down.,1.0
808,39,The seamstress pushed the threaded needle into the fabric.,The thread wrapped around the needle.,0.0
809,335,I needed to get cash.,I bought a wallet.,0.0
810,419,He cut an onion.,The cook's eyes watered.,1.0
811,1114,The surfer saw the wave.,She paddled her board into the ocean.,1.0
812,339,I stored it in the refrigerator.,The milk stayed cold.,1.0
813,1123,The train ran off the tracks.,The inside of the train became destroyed.,1.0
814,228,The car looked filthy.,The owner took it to the car wash.,1.0
815,1432,She broke her leg.,The woman's legs were smooth.,0.0
816,110,I was confused by the professor's lecture.,I asked the professor questions.,1.0
817,1352,She left her wallet at home.,The customer was embarassed at the cash register.,1.0
818,1138,I cleaned my skin.,My itch went away.,0.0
819,1172,The teacher threw the chewing gum at the student.,The gum stuck to the student's shoe.,1.0
820,391,Its sales were lagging.,The retail shop shut down.,1.0
821,399,The man's watch was broken.,He asked a stranger for the time.,1.0
822,393,Factories shut down.,Air pollution in the city worsened.,0.0
823,323,She discovered a new species.,The scientist gained recognition.,1.0
824,1329,The DJ did not play good music.,People began to dance.,0.0
825,1480,His pocket was filled with coins.,The man did not lose coins in his pocket anymore.,0.0
826,150,The patient's family visited him.,The hospital sent the patient home.,0.0
827,45,It migrated for the winter.,The bird couldn't fly.,0.0
828,1408,I was sobbing.,My cheeks became red and puffy.,0.0
829,1118,He talked back to the teacher.,The student learned most mistakes.,0.0
830,188,The woman upgraded her computer hardware.,She deleted old files on the computer.,0.0
831,1299,The book became a huge failure.,The author faded into obscurity.,1.0
832,192,The bureau drawers were cluttered.,I locked the drawers shut.,0.0
833,186,The doctor x-rayed the patient's arm.,He discovered that the patient's arm was broken.,1.0
834,200,She pounded on the door.,The woman felt an electric shock.,0.0
835,109,The patron was alone.,The bartender refused to serve the patron.,0.0
836,200,She grabbed the doorknob.,The woman felt an electric shock.,1.0
837,358,The gardener pulled the weeds.,The weeds produced seeds.,0.0
838,1192,The buerau drawers were opened.,I locked the drawers shut.,1.0
839,1055,The man returned the document.,The transaction was voided.,1.0
840,1012,The elderly woman made a phone call.,The woman's daughter came over to clean her house.,1.0
841,1246,I pulled apart the candy wrapper with my hands.,The wrapper crinkled.,0.0
842,1374,The man dealt well with the tragedy.,He got over it easily.,1.0
843,398,I flipped the light switch up and down.,The light flickered.,1.0
844,326,My knees buckled on the stairs.,The railing came loose from the wall.,0.0
845,1054,The cook boiled the ingredients in the bowl.,The ingredients melted.,1.0
846,265,He raised taxes.,The leader received praise.,0.0
847,167,I pushed the gas pedal.,The car door opened.,0.0
848,1477,The lobbyist persuaded the president that the bill was bad for business.,The legislature passed the bill.,0.0
849,1057,The woman felt compelled to express herself.,She wrote a poem.,1.0
850,472,The tree branch landed in the river.,The river's current became stronger.,0.0
851,1266,The man felt cold while reading the newspaper.,He chuckled.,0.0
852,1140,It was night in a quiet neighborhood.,The security alarm went off.,0.0
853,65,The dog injured his paw.,The family took their dog to the veterinarian.,1.0
854,1447,The woman began to wash her hair.,She pulled her hair back with a clip.,0.0
855,1381,The mother needed help looking after her children.,She gave up custody of the children.,1.0
856,1398,I turned the light switch off.,The light faded.,1.0
857,1280,She reclined by the pool.,The woman left her eyeglasses on.,1.0
858,1360,He joined the basketball team.,The teenager made many new friends.,1.0
859,1348,I needed to call someone.,I retraced my steps.,0.0
860,1021,She won a spelling bee.,The girl was not lonely anymore.,0.0
861,1439,The bride made a wishlist.,The wedding guests brought gifts.,1.0
862,1356,There was a death in her family.,The woman reconnected with distant relatives.,0.0
863,87,I ate birthday cake.,My stomach hurt.,1.0
864,1031,She was nervous.,The woman trembled.,1.0
865,125,It detected a predator.,The turtle hid in its shell.,1.0
866,187,He was building a sand castle.,The boy filled the bucket with sand.,1.0
867,333,She left it unsupervised.,The woman's purse was missing.,1.0
868,384,The floor contained broken glass.,I put shoes on.,1.0
869,1398,I turned the light switch off.,The light flickered.,0.0
870,478,My closet was messy.,I organized it.,1.0
871,1040,She decided to sue her employer.,The woman hired a public relations consultant.,0.0
872,166,I stood on one foot.,I kneeled down.,0.0
873,321,The man needed coins to fill the parking meter.,He searched under his car seats for loose change.,1.0
874,1228,The car looked keyed.,The owner took it to the car wash.,0.0
875,234,The school principal implemented a dress code.,Students were expelled from school.,0.0
876,279,His work was hasty.,The man made an error in his calculations.,1.0
877,438,He promised his friend that he would go.,The man felt obligated to attend the event.,1.0
878,198,I lit a candle.,The smoke alarm went off.,0.0
879,1058,The woman felt creative.,She renovated her kitchen.,1.0
880,414,She aspired to hold an executive position in the firm.,The woman resigned from her job.,0.0
881,1155,She enrolled in college.,The woman aimed for a diploma.,1.0
882,1458,The pants were new.,The pants had no defects.,1.0
